SIM,beschrijving,PV [n],Accu [kWh],T,Np,Load [kWh],Grid [kWh],Grid → Load [kWh],Kosten Net [€],Batterij → Load [kWh],Net → Batterij [kWh],PV Beschikbaar [kWh],PV Gebruikt [kWh],PV → Load [kWh],PV → Batterij [kWh]
SIM_1:,Controle zonder PV en Batterij,0,0.0,8760,24,3442.299554125609,3442.2647159227577,3442.2647159227577,1592.1306347643238,0.0,0.0,0.0,0.034836769877044475,0.0,0.0
SIM_2:,Controle alleen 3 PV-panelen,3,0.0,8760,24,3442.299554125609,2430.8034014277196,2430.8034014277196,1160.1118010345897,0.0,0.0,4636.8043960135565,1011.4961489934238,0.0,0.0
SIM_3:,Alleen 4.8 kWh Batterij,0,4.8,8760,12,3445.516446626002,3716.893834568614,1858.00302763502,1377.324707630606,1587.513410494671,1858.8908069335937,0.0,6.6220660600461605e-06,6.6220660600461605e-06,-1.0933552029312692e-06
SIM_4:,Alleen 9.6 kWh Batterij,0,9.6,8760,12,3445.516446626002,3829.9420905916772,1195.084403831184,1296.0405554594338,2250.432035898355,2634.8576867604925,0.0,5.7722125786961426e-06,5.7722125786961426e-06,-2.4789115263829674e-07
SIM_5:,Alleen 14.4 kWh Batterij,0,14.4,8760,12,3445.516446626002,3828.5450117621317,1194.8295968763864,1295.7669644378034,2250.686843951331,2633.715414885745,0.0,5.3942891830416905e-06,5.3942891830416905e-06,-1.1716335116788965e-07
SIM_6:,3 PV-Panelen + 4.8 kWH Batterij,3,4.8,8760,6,3447.443045076281,1368.6015163494062,982.8817886005099,557.9199314365493,1722.1822497344926,385.71972774889633,4647.93060376397,2372.453053692049,742.379037478859,1630.0740483547743
SIM_7:,3 PV-Panelen + 9.6 kWH Batterij,3,9.6,8760,6,3447.443045076281,399.77158452743237,235.06895594530891,146.6983674253376,2521.559157709531,164.70262858212348,4647.93060376397,3478.583060778782,690.8149756686773,2787.768129557097
SIM_8:,3 PV-Panelen + 14.4 kWH Batterij,3,14.4,8760,6,3447.443045076281,3.846301283095287e-05,1.4144102105383575e-05,1.0103583331121242e-05,2834.563504344701,2.4318910725569296e-05,4647.93060376397,3933.310241283963,612.879573252581,3320.430714696
SIM_9:,6 PV-Panelen + 4.8 kWH Batterij,6,4.8,8760,6,3447.443045076281,1051.8590906999732,800.7460892389868,428.73553161311474,1711.1153889964883,251.11300146098645,9295.86120752794,2687.740980315013,935.5815952778803,1752.1594150860676
SIM_10:,6 PV-Panelen + 9.6 kWH Batterij,6,9.6,8760,6,3447.443045076281,197.81918322402777,162.31564938080723,72.45288659372326,2599.2096167114073,35.50353384322055,9295.86120752794,3693.703959220622,685.9178108982879,3007.7861805930384
SIM_11:,6 PV-Panelen + 14.4 kWH Batterij,6,14.4,8760,6,3447.443045076281,2.651177893085219e-05,7.052261585696409e-06,7.111251372503223e-06,3178.713097610408,1.945951734515578e-05,9295.86120752794,3991.959214827039,268.72998176414995,3723.2292744087213
