SIM,beschrijving,PV [n],Accu [kWh],T,Np,Load [kWh],Grid [kWh],Grid → Load [kWh],Kosten Net [€],Batterij → Load [kWh],Net → Batterij [kWh],PV Beschikbaar [kWh],PV Gebruikt [kWh],PV → Load [kWh],PV → Batterij [kWh]
SIM_1:,Controle zonder PV en Batterij,0,0.0,8760,24,2529.2986415372084,2529.298318132296,2529.298318132296,1163.0864876646474,0.0,0.0,0.0,0.00032338438832302355,0.0,0.0
SIM_2:,Controle alleen 3 PV-panelen,3,0.0,8760,24,2529.2986415372084,1669.7755846935418,1669.7755846935418,791.7711679189578,0.0,0.0,5042.524780664743,859.5230568413829,0.0,0.0
SIM_3:,Alleen 2.4 kWh Batterij,0,2.4,8760,12,2531.784274017763,2682.94447364799,1646.7801326775782,1046.019015176155,885.0041322702818,1036.1643409704118,0.0,6.659998439891545e-06,6.659998439891545e-06,-1.758400266481887e-06
SIM_4:,Alleen 3.5 kWh Batterij,0,3.5,8760,12,2531.784274017763,2728.7394729795346,1379.662579984341,1007.4165883610335,1152.12168552627,1349.0768929951932,0.0,5.9507141194603655e-06,5.9507141194603655e-06,-1.6484164951506645e-06
SIM_5:,Alleen 4.8 kWh Batterij,0,4.8,8760,12,2531.784274017763,2772.6600745842957,1124.1282666154793,973.8656549675119,1407.6560000069949,1648.5318079688166,0.0,5.407955177423712e-06,5.407955177423712e-06,-1.0059438540920363e-06
SIM_6:,3 PV-Panelen + 2.4 kWH Batterij,3,2.4,8760,6,2533.1979438329254,1144.2740828934398,917.0756211420862,485.4624375179726,1030.6346248506318,227.1984617513534,5054.624531593317,1564.5130292040863,585.4877201974756,979.0253327705428
SIM_7:,3 PV-Panelen + 3.5 kWH Batterij,3,3.5,8760,6,2533.1979438329254,887.3042668243247,661.1865136817445,357.94693170573055,1257.2371340466657,226.11775314258023,5054.624531593317,1860.4062845565797,614.7743183958505,1245.6319902448995
SIM_8:,3 PV-Panelen + 4.8 kWH Batterij,3,4.8,8760,6,2533.1979438329254,583.3862631146798,364.44750989787474,218.0889403712375,1545.4520907527444,218.93875321680514,5054.624531593317,2213.7863928782417,623.2983800551199,1590.4880514812623
SIM_9:,6 PV-Panelen + 2.4 kWH Batterij,6,2.4,8760,6,2533.1979438329254,970.4106521291144,830.0392042859546,416.0148307280568,1027.4830509796134,140.37144784315953,10109.249063186635,1738.1080847138626,675.6757129939656,1062.432396570229
SIM_10:,6 PV-Panelen + 3.5 kWH Batterij,6,3.5,8760,6,2533.1979438329254,713.4629894865428,574.1681984507026,289.0582893372452,1275.0678805234452,139.29479103584015,10109.249063186635,2037.5376432479259,683.9618931397521,1353.5757787318207
SIM_11:,6 PV-Panelen + 4.8 kWH Batterij,6,4.8,8760,6,2533.1979438329254,423.2279187448629,293.9434998057984,157.22342557021898,1558.3428129989838,129.28441893906452,10109.249063186635,2376.3745103194283,681.6592431055445,1695.4628804020729
